,,Producción Institucional,,,,,,,,Análisis por autor,,,,,,,,,,,,,,,,,,,,Colaboraciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citas,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Totales,,,Totales,,,Totales,,,Totales,,,Nacional,,,Nacional,,,Nacional,,,Nacional,,,Internacional,,,Internacional,,,Internacional,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,SCI,,SSCI,,AHCI,,Total,,,Total,,SCI,,,SCI,,SSCI,,,SSCI,,AHCI,,,AHCI,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,,,SCI,,,,,SSCI,,,,,AHCI,,,,,,,
,,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,,,
16,COLEGIO DE POSGRADUADOS,310,1.7,304,1.8,15,0.7,2,0.6,184,1,59.35,657,1.03,180,1,59.21,653,1.06,9,0.4,60,8,0.28,2,0.6,100,0,0,245,3.2,79,243,3.3,79.9,9,1.4,60,0,0,0,245,3.2,79,243,3.3,79.9,9,1.4,60,0,0,0,1,3.1,0.3,1,3.3,0.3,0,0,0,0,0,0,92,1,29.68,236,2.6,92,1,30.26,236,2.6,4,0.5,26.67,9,2.3,0,0,0,0,0,,,
17,UNIVERSIDAD AUTONOMA DE SINALOA,301,1.6,296,1.7,9,0.4,0,0,162,0.9,53.82,725,1.14,159,0.9,53.72,717,1.16,4,0.2,44.44,9,0.31,0,0,0,0,0,237,3.1,78.7,234,3.2,79.1,7,1.1,77.8,0,0,0,237,3.1,78.7,234,3.2,79.1,7,1.1,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,1.6,47.51,418,2.9,141,1.6,47.64,413,2.9,5,0.6,55.56,11,2.2,0,0,0,0,0,,,
18,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,277,1.5,270,1.6,13,0.6,1,0.3,162,0.9,58.48,584,0.92,159,0.9,58.89,573,0.93,8,0.4,61.54,15,0.52,0,0,0,0,0,209,2.7,75.5,204,2.8,75.6,9,1.4,69.2,1,3,100,209,2.8,75.5,204,2.8,75.6,9,1.4,69.2,1,3.1,100,0,0,0,0,0,0,0,0,0,0,0,0,145,1.6,52.35,428,3,144,1.6,53.33,425,3,4,0.5,30.77,7,1.8,1,2.9,100,2,2,,,
19,UNIVERSIDAD DE SONORA,245,1.3,241,1.4,9,0.4,0,0,155,0.8,63.27,514,0.81,151,0.9,62.66,498,0.81,8,0.4,88.89,18,0.62,0,0,0,0,0,185,2.4,75.5,184,2.5,76.3,2,0.3,22.2,0,0,0,185,2.4,75.5,184,2.5,76.3,2,0.3,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1.4,53.06,358,2.8,129,1.5,53.53,357,2.8,4,0.5,44.44,7,1.8,0,0,0,0,0,,,
20,UNIVERSIDAD AUTONOMA DE QUERETARO,240,1.3,236,1.4,12,0.6,3,1,144,0.8,60,518,0.81,141,0.8,59.75,514,0.83,7,0.3,58.33,5,0.17,2,0.6,66.67,3,0.91,170,2.2,70.8,169,2.3,71.6,7,1.1,58.3,1,3,33.3,170,2.2,70.8,169,2.3,71.6,7,1.1,58.3,1,3.1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,129,1.4,53.75,377,2.9,129,1.5,54.66,377,2.9,8,1,66.67,16,2,0,0,0,0,0,,,
21,UNIVERSIDAD AUTONOMA DE YUCATAN,218,1.2,213,1.2,15,0.7,1,0.3,148,0.8,67.89,503,0.79,143,0.8,67.14,496,0.8,14,0.7,93.33,15,0.52,1,0.3,100,1,0.3,143,1.9,65.6,142,1.9,66.7,6,1,40,0,0,0,142,1.9,65.1,141,1.9,66.2,6,1,40,0,0,0,1,3.1,0.5,1,3.3,0.5,0,0,0,0,0,0,102,1.1,46.79,241,2.4,101,1.1,47.42,240,2.4,8,1,53.33,16,2,0,0,0,0,0,,,
22,SISTEMA UNIVERSIDAD IBEROAMERICANA,187,1,157,0.9,31,1.5,7,2.3,54,0.3,28.88,2718,4.26,30,0.2,19.11,2681,4.34,26,1.3,83.87,35,1.2,3,1,42.86,7,2.13,148,1.9,79.1,136,1.8,86.6,10,1.6,32.3,6,18.2,85.7,148,1.9,79.1,136,1.9,86.6,10,1.6,32.3,6,18.8,85.7,0,0,0,0,0,0,0,0,0,0,0,0,129,1.4,68.98,1046,8.1,114,1.3,72.61,1012,8.9,15,1.8,48.39,35,2.3,2,5.9,28.57,2,1,,,
23,UNIVERSIDAD AUTONOMA CHAPINGO,163,0.9,159,0.9,9,0.4,0,0,81,0.4,49.69,281,0.44,79,0.5,49.69,276,0.45,4,0.2,44.44,9,0.31,0,0,0,0,0,132,1.7,81,129,1.8,81.1,7,1.1,77.8,0,0,0,132,1.7,81,129,1.8,81.1,7,1.1,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.5,28.22,85,1.8,45,0.5,28.3,84,1.9,3,0.4,33.33,4,1.3,0,0,0,0,0,,,
24,UNIVERSIDAD DE COLIMA,159,0.9,153,0.9,14,0.7,1,0.3,76,0.4,47.8,297,0.47,72,0.4,47.06,291,0.47,9,0.4,64.29,10,0.34,1,0.3,100,0,0,134,1.8,84.3,131,1.8,85.6,9,1.4,64.3,0,0,0,134,1.8,84.3,131,1.8,85.6,9,1.4,64.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0.9,49.69,271,3.4,78,0.9,50.98,266,3.4,5,0.6,35.71,11,2.2,0,0,0,0,0,,,
25,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,151,0.8,148,0.9,8,0.4,0,0,84,0.5,55.63,306,0.48,82,0.5,55.41,299,0.48,6,0.3,75,15,0.52,0,0,0,0,0,117,1.5,77.5,115,1.6,77.7,7,1.1,87.5,0,0,0,117,1.5,77.5,115,1.6,77.7,7,1.1,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0.8,47.02,177,2.5,71,0.8,47.97,177,2.5,1,0.1,12.5,2,2,0,0,0,0,0,,,
